id,kanji,kana,mean,tag,example,ex_mean
v71,"特権","とっけん","特权","名词","一部の人だけが特権を持つべきではない。","不该只有一部分人拥有特权。"
v72,"把握","はあく","掌握","名词","現状を正確に把握することが第一歩だ。","准确掌握现状是第一步。"
v73,"派生","はせい","派生，引申","名词","その議論から新たな課題が派生した。","从那场讨论中又派生出了新课题。"
v74,"反映","はんえい","反映","名词","現場の声を計画に反映させたい。","希望把一线的声音反映到计划中。"
v75,"汎用","はんよう","通用，泛用","名词","汎用性の高い設計にしておくべきだ。","应该设计成通用性更高的形式。"
v76,"悲観的","ひかんてき","悲观的","形容动词","状況を悲観的に見すぎる必要はない。","没有必要把情况看得过于悲观。"
v77,"匹敵","ひってき","匹敌，相当","名词","その性能は高級機に匹敵する。","那种性能足以与高端机型匹敌。"
v78,"普及","ふきゅう","普及","名词","高速通信の普及で生活が大きく変わった。","高速通信的普及使生活发生了很大变化。"
v79,"負担","ふたん","负担","名词","利用者の負担を減らす工夫が必要だ。","需要想办法减轻使用者负担。"
v80,"弊害","へいがい","弊端，害处","名词","過度な競争がさまざまな弊害を生んでいる。","过度竞争带来了各种弊端。"
v81,"変遷","へんせん","变迁","名词","地域文化の変遷をたどる展示が人気だ。","追溯地域文化变迁的展览很受欢迎。"
v82,"包括","ほうかつ","包含，统括","名词","複数の制度を包括した新たな枠組みが示された。","提出了一个统括多个制度的新框架。"
v83,"膨大","ぼうだい","庞大","形容动词","膨大なデータを短時間で処理する必要がある。","需要在短时间内处理庞大的数据。"
v84,"本質","ほんしつ","本质","名词","問題の本質を見失ってはいけない。","不能看丢问题的本质。"
v85,"摩擦","まさつ","摩擦，冲突","名词","部署間の摩擦を減らす工夫が求められる。","需要想办法减少部门之间的摩擦。"
v86,"明白","めいはく","明确","形容动词","責任の所在を明白にする必要がある。","有必要明确责任归属。"
v87,"網羅","もうら","网罗","名词","報告書では主要な論点を網羅した。","报告书网罗了主要论点。"
v88,"模索","もさく","摸索，探索","名词","新たな販売戦略を模索している。","正在摸索新的销售战略。"
v89,"優位","ゆうい","优势","名词","価格面で他社より優位に立っている。","在价格方面处于比其他公司更有优势的位置。"
v90,"有益","ゆうえき","有益","形容动词","その議論は今後の方針にとって有益だった。","那场讨论对今后的方针很有帮助。"
v91,"抑制","よくせい","抑制，控制","名词","出費を抑制するために予算を見直した。","为了控制支出，重新审视了预算。"
v92,"余地","よち","余地，空间","名词","改善の余地はまだ十分にある。","仍然有充分的改进空间。"
v93,"露呈","ろてい","暴露，显露","名词","小さなミスから組織の弱点が露呈した。","从一个小错误中暴露出了组织的弱点。"
v94,"論理","ろんり","逻辑","名词","論理の飛躍がないか確認してください。","请确认论述中是否存在逻辑跳跃。"
v95,"脆弱","ぜいじゃく","脆弱","形容动词","災害に対するインフラの脆弱さが問題視されている。","基础设施在灾害面前的脆弱性正被视为问题。"
v96,"威圧","いあつ","威压，压迫","名词","威圧的な態度では信頼は得られない。","用威压的态度是得不到信任的。"
v97,"一変","いっぺん","完全改变","名词","新駅の開業で街の雰囲気が一変した。","新车站开业后，街道气氛完全改变了。"
v98,"受け入れ","うけいれ","接受，接纳","名词","多様な価値観を受け入れる姿勢が大切だ。","接纳多元价值观的态度很重要。"
v99,"埋没","まいぼつ","埋没，被淹没","名词","大切な意見が雑音の中に埋没してしまった。","重要意见淹没在杂音中了。"
v100,"趣向","しゅこう","趣向，意趣","名词","会場には趣向を凝らした展示が並んでいた。","会场里陈列着别出心裁的展示。"
v101,"一環","いっかん","一环，一部分","名词","地域活性化の一環として祭りが開催された。","作为地区振兴的一环，举办了节庆活动。"
v102,"一律","いちりつ","一律，同样地","副词","全員を一律に評価するのは公平とはいえない。","对所有人一律评价并不能算公平。"
v103,"一貫","いっかん","一贯，始终","名词","彼の主張は最初から最後まで一貫していた。","他的主张从头到尾都很一致。"
v104,"陰湿","いんしつ","阴险，阴郁","形容动词","陰湿ないじめは見えにくいぶん深刻だ。","阴险的霸凌因为不易察觉而更严重。"
v105,"有無","うむ","有无","名词","参加の有無を明日までに知らせてください。","请在明天前告知是否参加。"
v106,"遠慮","えんりょ","顾虑，客气","名词","分からない点があれば遠慮なく聞いてください。","如果有不懂的地方请不要客气尽管问。"
v107,"追及","ついきゅう","追究","名词","記者は責任の所在を厳しく追及した。","记者严厉追究了责任归属。"
v108,"横断","おうだん","横跨，横断","名词","この計画は複数部署を横断して進められる。","这个计划跨多个部门推进。"
v109,"温存","おんぞん","保留，保存","名词","予算を温存して次年度に備える方針だ。","方针是保留预算以备来年。"
v110,"介護","かいご","护理，看护","名词","高齢化に伴い介護の需要が増えている。","随着高龄化发展，护理需求正在增加。"
v111,"改修","かいしゅう","修缮，改修","名词","老朽化した施設の改修工事が始まった。","老化设施的修缮工程开始了。"
v112,"概略","がいりゃく","概要，概略","名词","最初に計画の概略を説明します。","先说明一下计划概要。"
v113,"画一的","かくいつてき","千篇一律的","形容动词","画一的な教育では個性が育ちにくい。","单一化的教育不利于个性发展。"
v114,"過疎","かそ","过疏，人口稀少","名词","山間部では過疎化が深刻になっている。","山区的人口稀少化问题正变得严重。"
v115,"加味","かみ","酌量，考虑进去","名词","現場の事情も加味して判断すべきだ。","应该把现场情况也考虑进去再判断。"
v116,"簡潔","かんけつ","简洁","形容动词","報告は簡潔で分かりやすいほうがよい。","报告最好简洁易懂。"
v117,"観点","かんてん","观点，角度","名词","別の観点から見ると結論は変わる。","从另一个角度看，结论会改变。"
v118,"起伏","きふく","起伏","名词","起伏の激しい道を歩き続けた。","一直走在起伏很大的路上。"
v119,"希薄","きはく","淡薄，稀薄","形容动词","地域とのつながりが希薄になっている。","与地区的联系正变得淡薄。"
v120,"救済","きゅうさい","救济，救助","名词","被害者を救済する制度の整備が急がれる。","需要尽快完善救济受害者的制度。"
v121,"共鳴","きょうめい","共鸣","名词","彼の考え方に多くの若者が共鳴した。","很多年轻人对他的想法产生了共鸣。"
v122,"許容","きょよう","容许，允许","名词","多少の誤差は許容範囲内だ。","少量误差仍在容许范围内。"
v123,"緊迫","きんぱく","紧迫","名词","現場には緊迫した空気が漂っていた。","现场弥漫着紧张气氛。"
v124,"空洞","くうどう","空洞","名词","理念だけでは議論が空洞になりやすい。","只有理念的话，讨论容易空洞化。"
v125,"屈折","くっせつ","曲折，屈折","名词","屈折した感情が言葉の端々ににじんでいた。","扭曲复杂的情感流露在言语之间。"
v126,"懸念","けねん","担忧，顾虑","名词","個人情報の流出を懸念する声が高まっている。","对个人信息泄露的担忧声越来越高。"
v127,"顕在化","けんざいか","显现化","名词","潜在的な問題が顕在化した。","潜在问题显现出来了。"
v128,"顧慮","こりょ","顾虑，斟酌","名词","環境への影響を十分に顧慮しなければならない。","必须充分顾及对环境的影响。"
v129,"混同","こんどう","混同","名词","事実と意見を混同してはいけない。","不能把事实和意见混为一谈。"
v130,"再現","さいげん","再现","名词","当時の町並みを忠実に再現した。","忠实再现了当时的街景。"
v131,"査定","さてい","评定，审定","名词","人事査定の透明性が求められている。","人事评定被要求更透明。"
v132,"惨状","さんじょう","惨状","名词","被災地の惨状に言葉を失った。","看到灾区惨状后说不出话来。"
v133,"自覚","じかく","自觉","名词","責任者としての自覚を持って行動してほしい。","希望你带着作为负责人的自觉来行动。"
v134,"持論","じろん","个人主张","名词","彼は持論を曲げようとしない。","他不愿改变自己的主张。"
v135,"慎重","しんちょう","慎重","形容动词","新しい制度の導入には慎重な検討が必要だ。","引入新制度需要慎重讨论。"
v136,"振興","しんこう","振兴","名词","地域産業の振興に向けた施策が始まった。","面向地区产业振兴的措施开始实施。"
v137,"深刻","しんこく","严重","形容动词","人手不足は予想以上に深刻だ。","人手不足比预想的更严重。"
v138,"随時","ずいじ","随时","副词","最新情報は随時更新されます。","最新信息会随时更新。"
v139,"整合性","せいごうせい","一致性，整合性","名词","説明と実際の運用に整合性がない。","说明与实际运作并不一致。"
v140,"制約","せいやく","制约，限制","名词","予算の制約で計画の一部を見直した。","由于预算限制，重新审视了计划的一部分。"
v141,"脆弱性","ぜいじゃくせい","脆弱性","名词","システムの脆弱性が発見された。","系统的脆弱性被发现了。"
v142,"促進","そくしん","促进","名词","交流を促進するためのイベントが開催される。","为了促进交流将举办活动。"
v143,"阻害","そがい","妨碍，阻碍","名词","情報不足が判断を阻害している。","信息不足正在妨碍判断。"
v144,"損失","そんしつ","损失","名词","判断ミスによって大きな損失が出た。","由于判断失误出现了巨大损失。"
v145,"対処","たいしょ","处理，应对","名词","問題が起きたときの対処法を共有しておく。","提前共享出现问题时的应对方法。"
v146,"対等","たいとう","对等","形容动词","対等な立場で議論することが大切だ。","以对等立场讨论很重要。"
v147,"多忙","たぼう","繁忙","形容动词","多忙を極める時期でも体調管理は欠かせない。","即使在极其繁忙时期也不能忽略健康管理。"
v148,"短縮","たんしゅく","缩短","名词","手続きを見直して待ち時間を短縮した。","通过重新审视流程缩短了等待时间。"
v149,"秩序","ちつじょ","秩序","名词","混乱を避けるため秩序を保つ必要がある。","为了避免混乱，需要维持秩序。"
v150,"調停","ちょうてい","调停","名词","双方の対立を調停する役割を担った。","承担了调停双方对立的角色。"
v151,"陳腐","ちんぷ","陈腐，老套","形容动词","陳腐な表現では相手の心に届かない。","老套的表达无法打动对方。"
v152,"定着","ていちゃく","扎根，固定下来","名词","新しい働き方が徐々に定着してきた。","新的工作方式正在逐渐扎根。"
v153,"転機","てんき","转机","名词","その出会いが人生の転機になった。","那次相遇成为人生的转机。"
v154,"統合","とうごう","统合","名词","複数のシステムを統合する計画だ。","计划将多个系统统合起来。"
v155,"同調","どうちょう","附和，同调","名词","周囲に同調するだけでは解決しない。","只是附和周围的人并不能解决问题。"
v156,"特有","とくゆう","特有，独有","名词","この地域特有の文化が今も残っている。","这个地区独有的文化至今仍然保留着。"
v157,"内訳","うちわけ","细目，构成","名词","予算の内訳を明確に示してください。","请明确展示预算明细。"
v158,"難航","なんこう","进展困难","名词","交渉は予想以上に難航している。","谈判进展比预想中更困难。"
v159,"任務","にんむ","任务","名词","今回の任務は安全確保が最優先だ。","这次任务以确保安全为最优先。"
v160,"粘り強い","ねばりづよい","顽强，坚持不懈","形容词","粘り強い交渉が合意につながった。","坚持不懈的谈判促成了协议。"
v161,"派遣","はけん","派遣","名词","専門家が現地に派遣された。","专家被派往现场。"
v162,"波及","はきゅう","波及，扩散","名词","値上げの影響が関連業界にも波及した。","涨价的影响波及到了相关行业。"
v163,"破綻","はたん","破裂，崩溃","名词","計画が破綻しないよう現実的に考えるべきだ。","为了不让计划崩溃，应该现实地考虑。"
v164,"発掘","はっくつ","发掘","名词","若い人材を発掘して育成する必要がある。","有必要发掘并培养年轻人才。"
v165,"反発","はんぱつ","反弹，反对","名词","急な方針転換に反発の声が上がった。","对突然的方针转变出现了反对声音。"
v166,"比重","ひじゅう","比重，分量","名词","利益より安全の比重を高く置くべきだ。","应该把安全的重要性置于利益之上。"
v167,"不可欠","ふかけつ","不可或缺","形容动词","チームワークは成功に不可欠だ。","团队合作对成功不可或缺。"
v168,"浮上","ふじょう","浮现，浮出水面","名词","新たな課題が会議で浮上した。","新的课题在会议中浮现出来。"
v169,"復旧","ふっきゅう","恢复，修复","名词","被災地のライフライン復旧が進んでいる。","灾区的生命线修复正在推进。"
v170,"分散","ぶんさん","分散","名词","リスクを分散するため投資先を増やした。","为了分散风险增加了投资对象。"
v171,"平穏","へいおん","平稳，平静","形容动词","平穏な日常のありがたさを実感した。","切实体会到平稳日常的可贵。"
v172,"保守的","ほしゅてき","保守的","形容动词","彼は新しい提案にやや保守的だ。","他对新提案有些保守。"
v173,"補足","ほそく","补充说明","名词","資料に補足説明を加えておきます。","我会在资料中补充说明。"
v174,"本格化","ほんかくか","正式展开","名词","観光シーズンを前に準備が本格化した。","在旅游季节到来前，准备工作正式展开。"
v175,"無難","ぶなん","稳妥，无可挑剔","形容动词","無難な表現では印象に残りにくい。","稳妥的表达不容易给人留下印象。"
v176,"明示","めいじ","明示","名词","条件を契約書に明示する必要がある。","有必要在合同中明确写出条件。"
v177,"黙認","もくにん","默认，默许","名词","不正を黙認することはできない。","不能默认不正行为。"
v178,"網羅的","もうらてき","全面的，网罗性的","形容动词","網羅的な調査で現状を把握したい。","希望通过全面调查来掌握现状。"
v179,"誘発","ゆうはつ","诱发，引发","名词","不用意な発言が誤解を誘発した。","不慎的发言引发了误解。"
v180,"有数","ゆうすう","屈指，著名","名词","この港は国内有数の物流拠点だ。","这座港口是国内屈指可数的物流据点。"
v181,"要請","ようせい","要求，请求","名词","自治体から支援要請が届いた。","地方政府发来了支援请求。"
v182,"様相","ようそう","样态，情况","名词","事態は当初と異なる様相を見せ始めた。","事态开始呈现出与最初不同的样貌。"
v183,"擁護","ようご","拥护，维护","名词","弱い立場の人を擁護する仕組みが必要だ。","需要一个维护弱势群体的机制。"
v184,"要旨","ようし","要旨，摘要","名词","発表の要旨を事前に提出してください。","请事前提交发表摘要。"
v185,"抑圧","よくあつ","压抑，压迫","名词","抑圧された感情が一気にあふれ出た。","被压抑的情感一下子涌了出来。"
v186,"予測","よそく","预测","名词","需要の予測を誤ると在庫が余ってしまう。","预测需求失误会导致库存积压。"
v187,"離脱","りだつ","脱离，退出","名词","途中で市場から離脱する企業も出てきた。","也出现了中途退出市场的企业。"
v188,"立証","りっしょう","举证，证实","名词","その仮説を立証するには追加のデータが必要だ。","要证实这个假设还需要额外数据。"
v189,"両立","りょうりつ","兼顾，两立","名词","仕事と家庭の両立は簡単ではない。","兼顾工作与家庭并不容易。"
v190,"冷遇","れいぐう","冷遇，冷淡对待","名词","新人が冷遇される職場では成長しにくい。","在冷待新人的职场里很难成长。"
v191,"連携","れんけい","联动，协作","名词","関係機関との連携が成功の鍵になる。","与相关机构的协作将成为成功关键。"
v192,"老朽化","ろうきゅうか","老化，陈旧化","名词","インフラの老朽化が各地で進んでいる。","基础设施老化正在各地加剧。"
v193,"惑わす","まどわす","迷惑，使迷惑","动词","見かけに惑わされず本質を見るべきだ。","不该被表象迷惑，而应看本质。"
v194,"悠長","ゆうちょう","悠闲，不慌不忙","形容动词","今は悠長に構えていられる状況ではない。","现在不是可以悠闲以对的情况。"
v195,"是非","ぜひ","务必；是非","副词","機会があれば是非参加してください。","如果有机会请务必参加。"
v196,"複合","ふくごう","复合，综合","名词","複合的な要因が問題を複雑にしている。","复合因素让问题变得更复杂。"
v197,"執行","しっこう","执行","名词","予算の執行状況を毎月確認している。","每个月都在确认预算执行情况。"
v198,"軌道","きどう","轨道，正轨","名词","新事業はようやく軌道に乗り始めた。","新业务终于开始步入正轨。"
v199,"是認","ぜにん","认可，承认","名词","現状を是認するだけでは前進できない。","只是一味认可现状的话无法前进。"
v200,"先行き","さきゆき","前景，今后走势","名词","景気の先行きには不透明感が残る。","景气前景仍然存在不透明感。"
